"","irr_256","irr_284","irr_304","irr_1175","irr_1216","irr_1335","irr_1405","MgII_EXIS","MgII_standard","time.x","xrsa_flux","xrsa_flux_observed","xrsa_flux_electrons","xrsb_flux","xrsb_flux_observed","xrsb_flux_electrons","xrsa_flag","xrsb_flag","xrsa_num","month.y","day.y","hour.y","minute.y","year.y","binary"
"692",5.7806537e-05,7.914441e-06,0.0004120877,8.614306e-05,0.006209014,0.00017812802,0.000117400625,0.28694153,0.2627527,454868,4.013111e-09,3.2854178e-08,2.8841066e-08,2.410885e-09,4.7259654e-08,4.484877e-08,4,4,59,11,12,21,8,2018,1
"693",5.731079e-05,7.836482e-06,0.00041203128,8.5010084e-05,0.0061743716,0.00017822086,0.00011717947,0.28728932,0.26284736,455433,3.0990035e-09,4.3539593e-08,4.044059e-08,3.877993e-09,6.1754534e-08,5.787654e-08,4,4,60,11,13,6,33,2018,1
"694",5.731079e-05,7.836482e-06,0.00041203128,8.5010084e-05,0.0061743716,0.00017822086,0.00011717947,0.28728932,0.26284736,455433,3.0990035e-09,4.3539593e-08,4.044059e-08,3.877993e-09,6.1754534e-08,5.787654e-08,4,4,60,11,13,6,33,2018,1
"695",5.722909e-05,7.79493e-06,0.00041143657,8.5115156e-05,0.006173802,0.00017786506,0.00011729975,0.28728116,0.26284516,455436,3.7003491e-09,4.422046e-08,4.052011e-08,3.7376084e-09,6.134581e-08,5.7608197e-08,4,4,60,11,13,6,36,2018,1
"696",5.926813e-05,8.148694e-06,0.0004147391,8.786187e-05,0.006226399,0.0001796174,0.0001181464,0.2862868,0.26257443,483747,8.957156e-09,1.7665867e-08,8.708712e-09,2.1845037e-09,3.428774e-08,3.2103237e-08,0,4,60,12,2,22,27,2018,1
"697",5.8553218e-05,8.075632e-06,0.0004139411,8.632493e-05,0.0062248893,0.00017852892,0.000118049684,0.28637552,0.26259857,484750,7.085011e-09,1.9563194e-08,1.2478183e-08,5.58403e-09,3.3348485e-08,2.7764456e-08,4,4,60,12,3,15,10,2018,1
"698",5.8021233e-05,7.927745e-06,0.00041271074,8.625351e-05,0.0062040435,0.00017838457,0.000118186625,0.28599176,0.2624941,485285,9.172367e-09,1.5125853e-08,5.9534857e-09,7.141286e-09,2.7714478e-08,2.0573191e-08,0,4,60,12,4,0,5,2018,1
"699",6.2416904e-05,9.659505e-06,0.0004217972,8.789781e-05,0.0063122897,0.000181515,0.000119591714,0.287973,0.26303357,490886,1e-09,1.456037e-08,1.5926163e-08,1.5946888e-08,6.596077e-08,5.001388e-08,4,4,60,12,7,21,26,2018,1
"700",6.26718e-05,1.0022884e-05,0.0004263147,8.8063025e-05,0.0063252025,0.00018264237,0.00012052628,0.28836203,0.2631395,491180,2.858599e-09,1.5300088e-08,1.2441489e-08,1.3727388e-08,5.5411103e-08,4.1683716e-08,4,4,60,12,8,2,20,2018,1
"701",6.321905e-05,1.01434225e-05,0.00042568828,8.848952e-05,0.006362141,0.00018316595,0.00012050924,0.28917193,0.26336002,491719,4.375994e-09,3.7633484e-08,3.3257493e-08,1.6846881e-08,8.401859e-08,6.7171705e-08,4,4,60,12,8,11,19,2018,1
"702",6.388435e-05,1.05275485e-05,0.00042617688,8.895264e-05,0.006361654,0.00018263161,0.00012097535,0.28882834,0.26326647,491985,1e-09,2.8500606e-08,3.2571055e-08,1.20794805e-08,6.971941e-08,5.763993e-08,4,4,60,12,8,15,45,2018,1
"703",6.300575e-05,1.0744541e-05,0.0004227083,8.77908e-05,0.0063090436,0.00018152579,0.0001197394,0.28693604,0.26275122,493767,9.37165e-09,2.335236e-08,1.3980711e-08,5.1919304e-08,7.538028e-08,2.3460977e-08,4,0,60,12,9,21,27,2018,1
"704",6.304517e-05,1.07491505e-05,0.00042163927,8.713885e-05,0.0063036853,0.00018139518,0.00011966309,0.2871624,0.26281285,493852,4.2785597e-09,2.241257e-08,1.813401e-08,4.184388e-08,8.8162686e-08,4.6318803e-08,4,4,60,12,9,22,52,2018,1
"705",6.1409126e-05,8.471245e-06,0.00042351487,8.838899e-05,0.0063316436,0.00018215882,0.00012018245,0.2881473,0.263081,496052,1.4927565e-09,6.020769e-08,5.871493e-08,6.769895e-09,8.01022e-08,7.33323e-08,4,4,60,12,11,11,32,2018,1
"706",6.147161e-05,8.307474e-06,0.00042161997,8.7794746e-05,0.006326913,0.00018219001,0.00011937422,0.28815377,0.2630828,496240,1e-09,5.413528e-08,6.356473e-08,1e-09,7.267674e-08,7.652996e-08,4,4,60,12,11,14,40,2018,1
"707",6.173129e-05,8.4025905e-06,0.00042497792,8.790958e-05,0.006356695,0.00018298872,0.00012011803,0.28815264,0.2630825,496476,1e-09,4.170429e-08,5.937193e-08,1e-09,5.6697786e-08,6.7787404e-08,4,4,60,12,11,18,36,2018,1
"708",6.190457e-05,8.6231585e-06,0.00042523097,8.818667e-05,0.0063473866,0.00018243172,0.00011963204,0.28803372,0.2630501,496674,1.0918854e-09,5.950997e-08,5.8418085e-08,1e-09,7.373504e-08,7.41084e-08,4,4,60,12,11,21,54,2018,1
"709",6.266574e-05,8.927704e-06,0.0004281338,8.833593e-05,0.0063899998,0.00018406754,0.00012100901,0.2886489,0.26321763,522102,1e-09,4.3658723e-08,5.565763e-08,1e-09,6.49937e-08,7.296145e-08,4,4,60,12,29,13,42,2018,1
"710",6.2552615e-05,9.232965e-06,0.0004289046,8.879236e-05,0.0063965744,0.00018443476,0.00012100251,0.288845,0.26327103,522199,1e-09,3.8619547e-08,6.535946e-08,1e-09,6.3070146e-08,8.044051e-08,4,4,60,12,29,15,19,2018,1
"711",6.250857e-05,9.19645e-06,0.00042854468,8.810195e-05,0.006393027,0.00018448131,0.00012114044,0.2889138,0.26328975,522228,1e-09,3.2994308e-08,5.9068533e-08,1e-09,6.163133e-08,7.822913e-08,4,4,59,12,29,15,48,2018,1
"712",6.254597e-05,9.164962e-06,0.00042919605,8.887399e-05,0.006394104,0.00018416907,0.00012097611,0.28854913,0.26319045,522360,1e-09,2.9243466e-08,5.372003e-08,1e-09,6.0196115e-08,7.4457105e-08,4,4,60,12,29,18,0,2018,1
"713",6.238692e-05,8.957348e-06,0.00042815998,8.8298344e-05,0.0063892743,0.00018418749,0.00012084349,0.28843695,0.2631599,522482,1e-09,3.6717456e-08,5.0629097e-08,1e-09,6.183918e-08,7.2162436e-08,4,4,60,12,29,20,2,2018,1
"714",6.207187e-05,8.919409e-06,0.0004292762,8.9261244e-05,0.0064125233,0.00018415495,0.0001211303,0.2887532,0.26324603,524072,4.749131e-09,4.6211067e-08,4.1461934e-08,3.1360508e-09,5.298881e-08,4.985276e-08,4,4,60,12,30,22,32,2018,1
"715",6.267931e-05,9.356398e-06,0.00043027854,8.868972e-05,0.0063972925,0.00018432042,0.000120270415,0.2884761,0.26317057,1082,1e-09,1.871979e-08,1.9229777e-08,1.0285471e-08,4.2780954e-08,3.2495482e-08,4,4,60,1,1,18,2,2019,1
"716",6.382315e-05,1.0689011e-05,0.0004257949,8.731485e-05,0.0063322377,0.00018249564,0.00012032703,0.28766167,0.2629488,8369,1e-09,3.7474038e-08,5.5427208e-08,1.2185151e-08,7.2531286e-08,6.034614e-08,4,4,60,1,6,19,29,2019,1
"717",6.377166e-05,1.0738035e-05,0.00042286734,8.715896e-05,0.006301298,0.00018077854,0.00011972248,0.28699225,0.26276648,8475,1e-09,4.4416375e-08,5.696731e-08,1.9354255e-08,8.712234e-08,6.7768084e-08,4,4,59,1,6,21,15,2019,1
"718",6.3176354e-05,1.0660951e-05,0.00042181017,8.619939e-05,0.0062758257,0.00018062655,0.000120101846,0.28705135,0.26278257,8767,4.661861e-09,3.8207787e-08,3.3545923e-08,3.7718277e-08,8.6328704e-08,4.8610424e-08,4,4,60,1,7,2,7,2019,1
"719",6.2088584e-05,8.124586e-06,0.0004277413,8.716265e-05,0.0063901525,0.00018316653,0.00012051416,0.28853405,0.26318634,10955,1e-09,4.7365155e-08,4.9213885e-08,1e-09,4.8067175e-08,5.2699427e-08,4,4,60,1,8,14,35,2019,1
"720",5.9626524e-05,7.659347e-06,0.00041862446,8.7062086e-05,0.0063040466,0.00018026371,0.00011856503,0.28756037,0.2629212,16611,4.977862e-09,2.154326e-08,1.6565398e-08,1e-09,2.161161e-08,2.2213333e-08,4,4,60,1,12,12,51,2019,1
